Value,ar,ca,cs,da,de,el,en,en_AU,en_GB,es,es_419,fi,fr,fr_CA,he,hi,hr,hu,id,it,ja,ko,ms,nl,no,pl,pt,pt_PT,ro,ru,sk,sv,th,tr,uk,vi,zh_CN,zh_HK,zh_TW
59452,سيارة,Cotxe,Auto,Bil,Auto,Αυτοκίνητο,Car,Car,Car,Coche,Automóvil,Auto,Voiture,Voiture,רכב,कार,Automobil,Autó,Mobil,Automobile,車,차,Kereta,Auto,Bil,Samochód,Carro,Carro,Mașină,Автомобиль,Auto,Bil,รถ,Araba,Автомобіль,Ô tô,小汽车,汽車,汽車
61446,سيارات متعددة,Diversos cotxes,Několik aut,Flere biler,Mehrere Autos,Πολλά αυτοκίνητα,Car Multiple,Car Multiple,Car Multiple,Varios coches,Varios automóviles,Monta autoa,Groupe de voitures,Plusieurs voitures,מכוניות,कार एकाधिक,Više automobila,Autó – Több,Beberapa Mobil,Varie auto,車（複数）,여러 대의 자동차,Berbilang Kereta,Auto's,Flere biler,Wiele samochodów,Múltiplos Carros,Vários carros,Mai multe mașini,Несколько автомобилей,Viaceré autá,Flera bilar,รถหลายคัน,Birden Fazla Araba,Декілька машин,Nhiều ô tô,多辆汽车,多部車,多輛汽車
61447,سيارة Bolt,Cotxe elèctric,Auto s bleskem,Bil med lyn,Blitz Auto,Ηλεκτρικό όχημα,Bolt Car,Bolt Car,Bolt Car,Coche eléctrico,Automóvil eléctrico,Auto ja salama,Voiture avec un éclair,Véhicule avec éclair,רכב עם ברק,बोल्ट कार,Auto s munjom,Elektromos autó,Mobil Listrik,Auto con saetta,車（充電）,볼트 EV 자동차,Kereta Kilat,Auto met bliksemschicht,Bil med lyn,Samochód z błyskawicą,Carro com Raio,Carro com relâmpago,Mașină Bolt,Электромобиль,Auto s bleskom,Bil med blixt,รถยนต์ไฟฟ้า,Fırlayan Araba,Автомобіль із блискавкою,Xe điện,电动车,電動車,電動車
59678,باص,Bus,Autobus,Bus,Bus,Λεωφορείο,Bus,Bus,Bus,Autobús,Autobús,Bussi,Bus,Bus,אוטובוס,बस,Autobus,Busz,Bus,Autobus,バス,버스,Bas,Bus,Buss,Autobus,Ônibus,Autocarro,Autobuz,Автобус,Autobus,Buss,รถโดยสาร,Otobüs,Автобус,Xe buýt,公交车,巴士,公車
61448,باص بطابقين,Bus de dos pisos,Dvoupatrový autobus,Dobbeltdækkerbus,Doppeldeckerbus,Διώροφο λεωφορείο,Bus Double Decker,Double-Decker Bus,Bus Double-Decker,Autobús de dos plantas,Autobús de dos pisos,Kaksikerroksinen bussi,Bus à impériale,Autobus à deux étages,אוטובוס דו-קומתי,डबल डेकर बस,Autobus na kat,Emeletes busz,Bus Tingkat,Bus a due piani,バス（2階建て）,2층 버스,Bas Dua Tingkat,Dubbeldekker,Dobbeltdekkerbuss,Autobus piętrowy,Ônibus de Dois Andares,Autocarro de dois pisos,Autobuz cu etaj,Двухэтажный автобус,Poschodový autobus,Dubbeldäckarbuss,รถโดยสารสองชั้น,Çift Katlı Otobüs,Двоповерховий автобус,Xe buýt hai tầng,双层公共汽车,雙層巴士,雙層巴士
61449,ترام,Tramvia,Tramvaj,Sporvogn,Tram,Τραμ,Tram,Tram,Tram,Tranvía,Tranvía,Raitiovaunu,Tramway,Tram,רכבת חשמלית,ट्राम,Tramvaj,Villamos,Trem,Tram,路面電車,트램,Trem,Tram,Trikk,Tramwaj,Bonde,Elétrico,Tramvai,Трамвай,Električka,Spårvagn,รถราง,Tramvay,Трамвай,Tàu điện,电车,電車,電車
61450,نفق ترام,Túnel de tramvia,Tramvaj v tunelu,Sporvognstunnel,Tramtunnel,Σήραγγα τραμ,Tram Tunnel,Tram Tunnel,Tram Tunnel,Túnel de tranvía,Túnel de tranvía,Raitiovaunu tunnelissa,Tunnel de tramway,Tunnel de tram,מנהרה לרכבת חשמלית,ट्राम सुरंग,Tramvajski tunel,Villamosalagút,Terowongan Trem,Tunnel del tram,路面電車（トンネル）,트램 터널,Terowong Trem,Tramtunnel,Trikketunnel,Tunel tramwajowy,Túnel de Bonde,Elétrico num túnel,Tunel tramvai,Трамвай в тоннеле,Električkový tunel,Spårvagnstunnel,อุโมงค์รถราง,Tramvay Tüneli,Трамвайний тунель,Đường hầm tàu điện,电车隧道,電車隧道,電車隧道
59668,دراجة,Bicicleta,Jízdní kolo,Cykel,Fahrrad,Ποδήλατο,Bicycle,Bicycle,Bicycle,Bicicleta,Bicicleta,Polkupyörä,Bicyclette,Bicyclette,אופניים,साइकल,Bicikl,Kerékpár,Sepeda,Bicicletta,自転車,자전거,Basikal,Fiets,Sykkel,Rower,Bicicleta,Bicicleta,Bicicletă,Велосипед,Bicykel,Cykel,จักรยาน,Bisiklet,Велосипед,Xe đạp,自行车,單車,腳踏車
59652,سيارة إسعاف,Ambulància,Sanitka,Ambulance,Krankenwagen,Ασθενοφόρο,Ambulance,Ambulance,Ambulance,Ambulancia,Ambulancia,Ambulanssi,Ambulance,Ambulance,אמבולנס,एंबुलेंस,Hitna pomoć,Mentők,Ambulans,Ambulanza,救急車,구급차,Ambulans,Ambulance,Ambulanse,Pogotowie ratunkowe,Ambulância,Ambulância,Ambulanță,Скорая помощь,Sanitka,Ambulans,รถพยาบาล,Ambulans,Карета швидкої допомоги,Xe cứu thương,救护车,救護車,救護車
59648,طائرة,Avió,Letadlo,Flyvemaskine,Flugzeug,Αεροπλάνο,Airplane,Aeroplane,Aeroplane,Avión,Avión,Lentokone,Avion,Avion,מטוס,विमान,Zrakoplov,Repülőgép,Pesawat,Aereo,飛行機,비행기,Pesawat,Vliegtuig,Fly,Samolot,Avião,Avião,Avion,Самолет,Lietadlo,Flygplan,เครื่องบิน,Uçak,Літак,Máy bay,飞机,飛機,飛機
